   2559 dome      20   0   11708   5276   3332 R  13,3   0,3   0:00.02 top
    806 root      20   0  458492 129960  65836 S   6,7   6,6   0:15.15 Xorg
   1176 dome      20   0  879796  81972  45424 S   6,7   4,1   0:07.38 caja
      1 root      20   0  167764  12296   9224 S   0,0   0,6   0:00.84 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.01 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 S   0,0   0,0   0:00.03 ksoftir+
     15 root      20   0       0      0      0 I   0,0   0,0   0:00.09 rcu_pre+
     16 root      rt   0       0      0      0 S   0,0   0,0   0:00.01 migrati+
     18 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     20 root      rt   0       0      0      0 S   0,0   0,0   0:00.18 migrati+
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.16 ksoftir+
     23 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     26 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmp+
     27 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 inet_fr+
     28 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
     30 root      20   0       0      0      0 S   0,0   0,0   0:00.00 khungta+
     31 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_rea+
     33 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 writeba+
     34 root      20   0       0      0      0 S   0,0   0,0   0:00.09 kcompac+
     35 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
     38 root      39  19       0      0      0 S   0,0   0,0   0:00.28 khugepa+
     39 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kintegr+
     40 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kblockd
     41 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 blkcg_p+
     42 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 tpm_dev+
     43 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 edac-po+
     44 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 devfreq+
     45 root       0 -20       0      0      0 I   0,0   0,0   0:00.10 kworker+
     46 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kswapd0
     52 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kthrotld
     54 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/24-+
     55 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/25-+
     56 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/26-+
     57 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/27-+
     58 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/28-+
     59 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/29-+
     60 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/30-+
     61 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/31-+
     62 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/32-+
     63 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/33-+
     64 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/34-+
     65 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/35-+
     66 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/36-+
     67 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/37-+
     68 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/38-+
     69 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/39-+
     70 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/40-+
     71 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/41-+
     72 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/42-+
     73 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/43-+
     74 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/44-+
     75 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/45-+
     76 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/46-+
     77 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/47-+
     78 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/48-+
     79 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/49-+
     80 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/50-+
     81 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/51-+
     82 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/52-+
     83 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/53-+
     84 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/54-+
     85 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/55-+
     86 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 acpi_th+
     87 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mld
     88 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipv6_ad+
     93 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kstrp
     98 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 zswap-s+
     99 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    159 root       0 -20       0      0      0 I   0,0   0,0   0:00.06 kworker+
    161 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ata_sff
    162 root      20   0       0      0      0 S   0,0   0,0   0:00.01 scsi_eh+
    163 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    164 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/16-+
    165 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    166 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    167 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mpt_pol+
    170 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mpt/0
    172 root      20   0       0      0      0 I   0,0   0,0   0:04.87 kworker+
    177 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    178 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    219 root      20   0       0      0      0 S   0,0   0,0   0:00.03 jbd2/sd+
    220 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rs+
    263 root      20   0   49584  22264  16896 S   0,0   1,1   0:00.27 systemd+
    290 root      20   0  152260   2312     12 S   0,0   0,1   0:00.00 vmware-+
    299 root      20   0   27092   6920   4700 S   0,0   0,3   0:00.13 systemd+
    361 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    363 systemd+  20   0   90080   6716   5792 S   0,0   0,3   0:00.05 systemd+
    366 root      20   0   52524  11112   9544 S   0,0   0,6   0:00.04 VGAuthS+
    370 root      20   0  167720  11476   7968 S   0,0   0,6   0:04.45 vmtoolsd
    372 root     -51   0       0      0      0 S   0,0   0,0   0:00.04 irq/56-+
    378 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/57-+
    381 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/58-+
    416 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cryptd
    553 root      20   0       0      0      0 I   0,0   0,0   0:00.06 kworker+
    554 root      20   0  237200  11928   6932 S   0,0   0,6   0:00.10 account+
    560 avahi     20   0    8288   3884   3524 S   0,0   0,2   0:00.03 avahi-d+
    565 root      20   0    6608   2704   2452 S   0,0   0,1   0:00.00 cron
    568 message+  20   0   10036   5808   4392 S   0,0   0,3   0:00.20 dbus-da+
    582 polkitd   20   0  310096  10144   7416 S   0,0   0,5   0:00.27 polkitd
    584 root      20   0   17116   7804   6784 S   0,0   0,4   0:00.06 systemd+
    594 root      20   0  394804  14796  10524 S   0,0   0,7   0:00.11 udisksd
    602 avahi     20   0    8100    360      0 S   0,0   0,0   0:00.00 avahi-d+
    606 root      20   0  259168  24324  17372 S   0,0   1,2   0:00.21 Network+
    615 root      20   0   16520   5912   5048 S   0,0   0,3   0:00.03 wpa_sup+
    627 root      20   0  317308  12056  10200 S   0,0   0,6   0:00.09 ModemMa+
    709 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    731 root      20   0   26500   8372   7128 S   0,0   0,4   0:00.03 cupsd
    747 root      20   0  308480   7200   6208 S   0,0   0,4   0:00.03 lightdm
    797 lp        20   0   16348   5260   4456 S   0,0   0,3   0:00.01 dbus
    808 root      20   0    5872   1012    928 S   0,0   0,1   0:00.00 agetty
    836 root      20   0  176100  13004  11104 S   0,0   0,7   0:00.03 cups-br+
    943 rtkit     21   1   22700   1512   1272 S   0,0   0,1   0:00.03 rtkit-d+
   1008 root      20   0  162424   7664   6768 S   0,0   0,4   0:00.03 lightdm
   1013 dome      20   0   19128  10892   9004 S   0,0   0,6   0:00.08 systemd
   1014 dome      20   0  168880   3200      0 S   0,0   0,2   0:00.00 (sd-pam)
   1029 dome       9 -11 1179004  32016  22836 S   0,0   1,6   0:00.85 pulseau+
   1031 dome      20   0  239976  12076   9040 S   0,0   0,6   0:00.02 gnome-k+
   1035 dome      20   0    9536   5316   4352 S   0,0   0,3   0:00.12 dbus-da+
   1039 dome      20   0  265540  24124  18240 S   0,0   1,2   0:00.15 x-sessi+
   1092 dome      20   0    7668    772      0 S   0,0   0,0   0:00.01 ssh-age+
   1093 dome      20   0  311132  12172   7328 S   0,0   0,6   0:00.01 at-spi-+
   1099 dome      20   0    9120   4920   4408 S   0,0   0,2   0:00.03 dbus-da+
   1116 dome      20   0  156444   5508   4860 S   0,0   0,3   0:00.00 dconf-s+
   1121 dome      20   0  944444  45032  28940 S   0,0   2,3   0:00.52 mate-se+
   1123 dome      20   0  164380  10048   7168 S   0,0   0,5   0:00.09 at-spi2+
   1129 dome      20   0  744552  51360  34216 S   0,0   2,6   0:02.23 marco
   1130 dome      20   0  237724  12224   7204 S   0,0   0,6   0:00.02 gvfsd
   1135 dome      20   0  380364   8200   5508 S   0,0   0,4   0:00.01 gvfsd-f+
   1150 dome      20   0  551228  46880  32852 S   0,0   2,4   0:00.48 mate-pa+
   1173 dome      20   0  351876  13664   9960 S   0,0   0,7   0:00.03 gvfs-ud+
   1179 dome      20   0  312620  10224   7128 S   0,0   0,5   0:00.13 gvfs-af+
   1187 dome      20   0  233728   8472   5896 S   0,0   0,4   0:00.01 gvfs-go+
   1191 dome      20   0  267744  24680  17044 S   0,0   1,2   0:00.15 mate-sc+
   1194 dome      20   0  233532   8600   5956 S   0,0   0,4   0:00.01 gvfs-mt+
   1200 dome      20   0  495952  29164  20828 S   0,0   1,5   0:00.25 mate-po+
   1205 dome      20   0  234620   8816   6064 S   0,0   0,4   0:00.01 gvfs-gp+
   1209 dome      20   0  140100  38816  30368 S   0,0   2,0   0:04.63 vmtoolsd
   1210 dome      20   0  443156  36528  26768 S   0,0   1,8   0:00.16 nm-appl+
   1214 dome      20   0  673028  45556  33004 S   0,0   2,3   0:00.17 mate-vo+
   1226 dome      20   0  595380  47700  36508 S   0,0   2,4   0:01.30 wnck-ap+
   1229 dome      20   0  496176  33660  23184 S   0,0   1,7   0:00.13 notific+
   1230 dome      20   0  539464  35920  26216 S   0,0   1,8   0:00.25 clock-a+
   1231 dome      20   0  186800  18388  14420 S   0,0   0,9   0:00.04 polkit-+
   1254 dome      20   0  390464  14476  10840 S   0,0   0,7   0:00.06 xdg-des+
   1292 root      20   0  307604   9016   6228 S   0,0   0,5   0:00.07 upowerd
   1315 dome      20   0  460644  11704   6888 S   0,0   0,6   0:00.03 xdg-doc+
   1325 dome      20   0  236836   7792   5196 S   0,0   0,4   0:00.00 xdg-per+
   1341 root      20   0    2480    936    844 S   0,0   0,0   0:00.00 fusermo+
   1350 dome      20   0  336244  21804  16984 S   0,0   1,1   0:00.06 xdg-des+
   1417 dome      20   0  311976  10696   7580 S   0,0   0,5   0:00.02 gvfsd-t+
   1475 dome      20   0  160116   8584   5948 S   0,0   0,4   0:00.01 gvfsd-m+
   1488 dome      20   0  625036  49612  37068 S   0,0   2,5   0:03.09 mate-te+
   1514 dome      20   0    8132   4988   3444 S   0,0   0,3   0:00.07 bash
   2358 root      20   0       0      0      0 I   0,0   0,0   0:00.21 kworker+
   2359 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworker+
   2361 root      20   0       0      0      0 I   0,0   0,0   0:01.55 kworker+
   2362 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker+
   2364 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker+
   2365 root      20   0       0      0      0 I   0,0   0,0   0:00.09 kworker+
   2367 root      20   0       0      0      0 I   0,0   0,0   0:00.05 kworker+
   2560 dome      20   0    5912    904    816 S   0,0   0,0   0:00.00 tail
